manufacturer,model_type,overall_diameter_mm,overall_length_mm,gear_box,gear_ratio,rated_torque_nm,peak_torque_nm,rated_speed_rpm,efficiency,weight_kg,built_in_controller,link,peak_torque_density_nm/kg,dc_voltage_v
MOSRAC,U13060,130,60.9,,1,18,40,400,,2.7,No,,14.8,
MOSRAC,U16025,160,25.9,,1,9,20,500,,1.1,No,,18.2,
MOSRAC,U16035,160,35.9,,1,15,32,300,,1.6,No,,20,
MOSRAC,U16060,160,60.9,,1,32,66,200,,3.3,No,,20,
MOSRAC,U20025,200,25.9,,1,13,28,300,,1.7,No,,16.5,
MOSRAC,U20035,200,35.9,,1,24,50,200,,2.9,No,,17.2,
MOSRAC,U20060,200,60.9,,1,50,100,100,,5.5,No,,18.2,
Nidec,D35,35,20.5,,1,0.145,0.457,4800,,5.5,No,,0.1,
Nidec,D52,52,18.5,,1,0.39,1.38,2400,,5.5,No,,0.3,
Nidec,D64,64,25.5,,1,0.76,2.59,2400,,5.5,No,,0.5,
Nidec,D77,77,28,,1,1.69,5.63,2400,,5.5,No,,1,
Nidec,D100,100,32,,1,2.97,9.68,1600,,5.5,No,,1.8,
